"economic_object_code","economic_object_code_descn"
"4595","Respendable revenue - Systems applications and products (SAP) departments"
"4598","Loan guarantee fees"
"4611","Overhead or other amounts recovered by departments and agencies from revolving funds"
"4612","Amounts recovered for general administrative services by other departments or other programs within a department"
"4613","Subsidy received by a revolving fund from an appropriation"
"4615","Recoveries of costs from shared cost programs"
"4616","Recoveries from allocation of expenditures/costs within revolving funds"
"4619","Other"
"4620","Human resources management services"
"4621","Financial management services"
"4622","Information Management services"
"4623","Information Technology services"
"4624","Communications services"
"4625","Real property services"
"4626","Material services"
"4627","Acquisition services"
"4628","Other administrative service that is designated by order of the Governor in Council"
"4670","Sales of goods and services - CORCAN Revolving Fund"
"4679","Other"
"4801","Interest on loans, investments and advances from federal Crown corporations and agencies lending institutions"
"4802","Interest on loans and advances from all other federal Crown corporations"
"4803","Interest on loans and advances from provincial and territorial governments, including their Crown corporations"
"4804","Interest on loans and advances from domestic private sector enterprises"
"4805","Interest on other loans and advances from other domestic sources"
"4806","Interest on loans and advances from national governments and international organizations"
"4811","Profits and/or dividends from enterprises"
"4812","Profits from the Bank of Canada"
"4814","Profit and/or surplus from foreign exchange accounts (Department of Finance)"
"4819","Other return on investments, not elsewhere specified"
"4821","Interest on Goods and services tax (GST)"
"4822","Interest on customs duties and other excise taxes"
"4823","Interest on income tax"
"4824","Interest on Other Tax Revenue"
"4832","Interest on overdue accounts receivable"
"4833","Interest on bank deposits"
"4834","Interest on Canada student loans"
"4835","Interest on apprentice loans"
"4841","Revenue from coinage (seigniorage)"
"4842","Revenue from bullion"
"4843","Sales of surplus Crown assets"
"4844","Sales of residential real property"
"4845","Sale of non-residential real property"
"4846","Proceeds resulting from losses and damages to assets"
"4847","Sale of Crown corporations"
"4848","Sale of departmental organizations"
"4849","Sales of intangible assets"
"4851","Fines"
"4857","Penalties"
"4858","Proceeds from other court awards, including seized property"
"4871","Transfer payments from provincial or territorial governments"
"4872","Transfer payments from local governments, including municipalities and local school boards"
"4873","Transfer payments from foreign governments"
"4874","Lottery receipts from the provinces"
"4880","Administration of the Employment Insurance Account, including cost recoveries"
"4883","Revenue from the Canada Pension Plan"
"4888","Reallocation from non-budgetary funds and accounts"
"4889","Other receipts from non-budgetary funds and accounts"
"4892","Gain on revaluation of foreign currency assets and liabilities"
"4893","Removal of low value amounts related to accounts receivable"
"4899","Other"
"5010","Acquisition of loans with cash"
"5011","Acquisition of loans with other assets"
"5013","Loans to appropriation-dependent Crown corporations"
"5015","Settlement of loans with cash"
"5016","Settlement of loans with other assets"
"5018","Repayment of loans from appropriation-dependent Crown corporations"
"5020","Foreign currency translation of loans"
"5021","Write-off of loans"
"5029","Other adjustments to Loans"
"5030","Acquisition of other advances with cash"
"5031","Acquisition of other advances with other assets"
"5032","Acquisition of travel advances"
"5033","Advances to consolidated specified purpose accounts"
"5035","Settlement of other advances with cash"
"5036","Settlement of other advances with other assets"
"5038","Repayment of advances from consolidated specified purpose accounts"
"5040","Foreign currency translation of advances"
"5041","Write-off of advances"
"5043","Recoverable advances to employees"
"5044","Recoverable advances to bargaining agents"
"5049","Other adjustments to Advances"
"5050","Acquisition of investments with cash"
"5051","Acquisition of investments through capitalization of financial claims"
"5052","Acquisition of investments with other assets"
"5053","Investments in consolidated specified purpose accounts"
"5054","Investments in appropriation-dependent Crown corporations"
"5055","Disposal of investments for cash"
"5056","Disposal of investments for other assets"
"5057","Repayment of investments from appropriation-dependent Crown corporations"
"5058","Repayment of investments by consolidated specified purpose accounts"
"5060","Foreign currency translation of investments"
"5061","Write-off of investments"
"5069","Other adjustments to Investments"
"5070","Acquisition of investments with cash"
"5071","Transfers from the Canada Pension Plan accounts"
"5075","Disposal of investments with cash"
"5079","Other adjustments to Investments"
"5100","Acquisition of claims with cash"
"5101","Acquisition of claims in exchange for Special Drawing Rights or International Monetary Fund notes"
"5111","Settlement of claims in exchange for Special Drawing Rights or International Monetary Fund notes"
"5121","Issues of notes payable to the International Monetary Fund (IMF)"
"5123","Redemption of notes payable to the International Monetary Fund (IMF)"
"5130","Maintenance of value adjustments"
"5131","Year end valuation adjustment"
"5159","Other adjustments"
"5160","Advances provided to the Exchange Fund Account"
"5161","Settlements of advances"
"5163","Year-end valuation adjustment"
"5169","Other adjustments"
"5170","Derivatives"
"5299","Net Increase or Decrease in Cash account"
"5390","Write-Off of Phoenix salary overpayments"
"5399","Net Increase or Decrease in Accounts receivable"
"6001","Contributions by current employees or participants"
"6002","Contributions by current employees - Public Service corporations"
"6003","Contributions by government employees for past services or in arrears"
"6004","Contributions by Public Service corporations employees for past service or in arrears"
"6005","Contributions by retired employees"
"6012","Contributions by government - As employer"
"6013","Contributions by Public Service corporations as employer"
"6017","Death benefit general contributions"
"6018","Death benefit single contributions"
"6020","Actuarial adjustments"
"6022","Transfers from other pension funds"
"6023","Refundable tax recovered from the Canada Revenue Agency"
"6025","Return on investment"
"6027","Interest credited to the account"
"6029","Other receipts"
"6030","Payment of benefits"
"6034","Payment of minimum benefits"
"6035","Pension division payments"
